iter	Passed	Remaining
0	1	121
1	2	106
2	3	98
3	3	91
4	5	95
5	6	97
6	7	100
7	8	96
8	9	96
9	10	97
10	12	97
11	13	97
12	14	97
13	15	97
14	16	94
15	17	94
16	19	94
17	20	93
18	21	91
19	22	89
20	23	87
21	24	87
22	25	86
23	26	84
24	27	83
25	29	83
26	30	82
27	31	80
28	32	79
29	34	79
30	35	78
31	36	77
32	38	77
33	39	75
34	40	74
35	41	74
36	43	73
37	44	72
38	46	72
39	47	70
40	48	69
41	49	67
42	50	66
43	51	65
44	52	64
45	53	63
46	55	62
47	56	60
48	57	59
49	58	58
50	59	57
51	60	56
52	61	54
53	63	53
54	63	52
55	65	51
56	66	50
57	67	48
58	68	47
59	70	46
60	71	45
61	72	44
62	74	43
63	75	42
64	76	41
65	77	40
66	79	38
67	80	37
68	81	36
69	82	35
70	83	34
71	85	33
72	86	31
73	87	30
74	88	29
75	90	28
76	91	27
77	92	26
78	93	24
79	95	23
80	96	22
81	97	21
82	98	20
83	100	19
84	101	17
85	102	16
86	103	15
87	104	14
88	105	13
89	107	11
90	108	10
91	109	9
92	110	8
93	112	7
94	113	5
95	114	4
96	115	3
97	116	2
98	118	1
99	119	0
